iter	Passed	Remaining
398	93044	140149
399	93239	139859
400	93440	139578
401	93659	139324
402	93850	139029
403	94077	138787
404	94278	138507
405	94523	138292
406	94796	138119
407	95056	137924
408	95318	137733
409	95542	137487
410	95773	137252
411	96049	137080
412	96305	136879
413	96491	136580
414	96649	136241
415	96893	136024
416	97124	135788
417	97315	135497
418	97581	135309
419	97750	134988
420	97986	134760
421	98164	134453
422	98382	134200
423	98594	133939
424	98775	133637
425	98987	133377
426	99185	133098
427	99414	132861
428	99653	132638
429	99906	132434
430	100127	132187
431	100353	131946
432	100572	131697
433	100761	131408
434	100932	131096
435	101178	130882
436	101395	130630
437	101598	130361
438	101760	130040
439	102033	129860
440	102198	129543
441	102418	129297
442	102699	129128
443	102902	128860
444	103068	128546
445	103291	128303
446	103483	128023
447	103687	127757
448	103883	127483
449	104088	127218
450	104351	127026
451	104513	126710
452	104708	126436
453	104957	126226
454	105173	125977
455	105385	125723
456	105559	125423
457	105744	125138
458	105970	124901
459	106225	124699
460	106506	124526
461	106799	124368
462	107052	124162
463	107307	123958
464	107458	123635
465	107715	123433
466	107983	123244
467	108212	123011
468	108486	122828
469	108675	122548
470	108864	122270
471	109059	121998
472	109254	121727
473	109513	121527
474	109760	121314
475	109999	121091
476	110220	120849
477	110436	120602
478	110676	120380
479	110887	120128
480	111098	119875
481	111285	119597
482	111511	119360
483	111746	119134
484	111906	118828
485	112103	118561
486	112346	118344
487	112568	118104
488	112758	117831
489	112950	117560
490	113199	117349
491	113380	117067
492	113538	116762
493	113783	116547
494	113947	116249
495	114214	116056
496	114440	115821
497	114602	115522
498	114844	115304
499	115037	115037
500	115318	114858
501	115549	114628
502	115743	114362
503	115902	114063
504	116151	113851
505	116424	113663
506	116659	113438
507	116823	113143
508	116974	112838
509	117192	112596
510	117416	112361
511	117634	112120
512	117861	111888
513	118130	111695
514	118327	111435
515	118502	111153
516	118694	110888
517	118909	110645
518	119132	110410
519	119350	110169
520	119570	109931
521	119786	109689
522	120027	109470
523	120245	109230
524	120504	109028
525	120715	108781
526	120936	108544
527	121146	108298
528	121341	108037
529	121529	107771
530	121780	107561
531	121975	107302
532	122256	107118
533	122491	106893
534	122677	106626
535	122942	106427
536	123209	106231
537	123464	106023
538	123740	105833
539	123958	105593
540	124144	105327
541	124364	105090
542	124579	104848
543	124794	104606
544	125081	104425
545	125275	104166
546	125529	103957
547	125745	103717
548	125983	103494
549	126202	103256
550	126374	102980
551	126655	102793
552	126892	102569
553	127101	102323
554	127345	102106
555	127508	101823
556	127703	101566
557	127963	101361
558	128161	101107
559	128460	100933
560	128668	100687
561	128894	100455
562	129169	100261
563	129378	100015
564	129662	99828
565	129876	99587
566	130112	99362
567	130300	99101
568	130571	98903
569	130784	98661
570	130990	98414
571	131203	98173
572	131480	97979
573	131687	97732
574	131921	97506
575	132153	97279
576	132349	97025
577	132616	96824
578	132848	96595
579	133079	96368
580	133404	96207
581	133624	95970
582	133845	95734
583	134039	95480
584	134255	95241
585	134475	95005
586	134678	94757
587	134936	94547
588	135165	94317
589	135365	94067
590	135595	93838
591	135868	93638
592	136117	93422
593	136407	93234
594	136644	93009
595	136872	92779
596	137077	92533
597	137281	92285
598	137581	92103
599	137860	91907
600	138137	91708
601	138424	91516
602	138617	91262
603	138888	91059
604	139114	90826
605	139377	90618
606	139576	90368
607	139773	90117
608	140025	89901
609	140209	89641
610	140447	89417
611	140657	89175
612	140923	88968
613	141137	88728
614	141335	88478
615	141524	88223
616	141683	87949
617	141895	87708
618	142121	87476
619	142342	87242
620	142609	87035
621	142802	86783
622	143022	86548
623	143212	86294
624	143372	86023
625	143529	85750
626	143755	85519
627	144010	85305
628	144248	85081
629	144513	84873
630	144740	84642
631	144930	84390
632	145124	84139
633	145326	83895
634	145536	83654
635	145801	83445
636	146063	83235
637	146323	83023
638	146602	82822
639	146811	82581
640	147032	82347
641	147247	82110
642	147491	81888
643	147696	81645
644	147933	81421
645	148200	81211
646	148390	80960
647	148586	80713
648	148868	80512
649	149165	80319
650	149383	80084
651	149551	79822
652	149776	79590
653	150044	79381
654	150280	79155
655	150558	78951
656	150783	78719
657	151030	78499
658	151223	78250
659	151414	78001
660	151626	77762
661	151812	77511
662	152001	77261
663	152161	76997
664	152416	76781
665	152621	76539
666	152867	76319
667	153146	76114
668	153424	75909
669	153605	75656
670	153823	75421
671	154029	75181
672	154251	74948
673	154513	74735
674	154752	74510
675	154993	74286
676	155213	74053
677	155456	73830
678	155723	73618
679	155975	73400
680	156182	73160
681	156400	72925
682	156664	72712
683	156869	72471
684	157067	72228
685	157348	72022
686	157568	71789
687	157755	71540
688	157935	71288
689	158142	71049
690	158341	70806
691	158529	70559
692	158702	70305
693	158897	70061
694	159060	69803
695	159267	69564
696	159446	69314
697	159657	69077
698	159883	68848
699	160135	68629
700	160352	68395
701	160591	68171
702	160821	67943
703	161030	67706
704	161279	67485
705	161484	67247
706	161670	67000
707	161907	66775
708	162159	66556
709	162416	66339
710	162579	66083
711	162775	65841
712	163003	65613
713	163244	65389
714	163443	65148
715	163669	64919
716	163861	64676
717	164034	64425
718	164237	64187
719	164477	63963
720	164637	63708
721	164804	63456
722	164981	63208
723	165233	62989
724	165448	62756
725	165613	62504
726	165817	62266
727	166039	62036
728	166271	61810
729	166512	61586
730	166775	61371
731	166949	61123
732	167166	60891
733	167425	60674
734	167631	60438
735	167873	60215
736	168034	59963
737	168314	59754
738	168520	59518
739	168761	59294
740	168967	59058
741	169200	58832
742	169361	58581
743	169610	58360
744	169802	58120
745	170021	57889
746	170270	57668
747	170468	57430
748	170696	57202
749	170860	56953
750	171138	56742
751	171333	56503
752	171587	56284
753	171845	56066
754	172049	55830
755	172300	55610
756	172526	55381
757	172775	55160
758	172984	54926
759	173147	54678
760	173332	54436
761	173567	54211
762	173816	53990
763	174064	53768
764	174277	53536
765	174471	53298
766	174717	53075
767	174932	52844
768	175153	52614
769	175328	52370
770	175521	52132
771	175721	51896
772	175947	51668
773	176133	51429
774	176403	51213
775	176668	50997
776	176871	50762
777	177059	50523
778	177295	50298
779	177522	50070
780	177705	49830
781	177900	49593
782	178086	49354
783	178336	49133
784	178600	48916
785	178774	48674
786	178982	48441
787	179188	48208
788	179385	47972
789	179605	47743
790	179896	47532
791	180134	47307
792	180438	47100
793	180648	46868
794	180818	46626
795	181003	46387
796	181171	46145
797	181359	45908
798	181533	45667
799	181701	45425
800	181857	45180
801	182056	44946
802	182283	44719
803	182488	44487
804	182709	44258
805	182923	44028
806	183128	43796
807	183317	43560
808	183547	43334
809	183752	43102
810	184036	42888
811	184251	42659
812	184419	42418
813	184646	42191
814	184844	41958
815	185047	41726
816	185293	41503
817	185548	41283
818	185761	41053
819	186011	40831
820	186262	40610
821	186477	40380
822	186676	40147
823	186863	39912
824	187028	39672
825	187188	39431
826	187402	39202
827	187613	38972
828	187909	38760
829	188136	38533
830	188387	38312
831	188643	38091
832	188845	37859
833	189051	37628
834	189310	37408
835	189534	37181
836	189792	36960
837	190041	36738
838	190289	36515
839	190522	36290
840	190798	36072
841	191033	35847
842	191206	35610
843	191397	35376
844	191692	35162
845	191875	34927
846	192170	34713
847	192460	34497
848	192633	34261
849	192890	34039
850	193160	33820
851	193408	33596
852	193652	33372
853	193935	33155
854	194108	32919
855	194275	32681
856	194506	32455
857	194737	32229
858	194925	31995
859	195188	31774
860	195397	31544
861	195649	31322
862	195927	31103
863	196137	30873
864	196311	30638
865	196568	30415
866	196807	30190
867	197126	29977
868	197395	29757
869	197648	29533
870	197947	29317
871	198188	29091
872	198384	28860
873	198614	28633
874	198882	28411
875	199131	28187
876	199388	27964
877	199622	27737
878	199829	27507
879	200071	27282
880	200354	27062
881	200566	26833
882	200800	26606
883	201011	26377
884	201193	26143
885	201472	25923
886	201767	25704
887	202048	25483
888	202262	25254
889	202464	25023
890	202713	24798
891	202971	24574
892	203231	24351
893	203504	24129
894	203681	23895
895	203923	23669
896	204122	23438
897	204428	23220
898	204632	22989
899	204860	22762
900	205113	22537
901	205348	22310
902	205533	22078
903	205820	21857
904	206063	21631
905	206364	21410
906	206570	21180
907	206790	20952
908	207006	20723
909	207227	20495
910	207489	20270
911	207731	20044
912	207984	19818
913	208190	19589
914	208398	19359
915	208614	19130
916	208842	18902
917	209151	18682
918	209380	18454
919	209594	18225
920	209787	17994
921	210088	17773
922	210345	17547
923	210541	17317
924	210753	17088
925	211013	16862
926	211229	16634
927	211457	16406
928	211626	16173
929	211916	15950
930	212163	15724
931	212384	15495
932	212631	15269
933	212832	15039
934	213103	14814
935	213376	14589
936	213568	14359
937	213803	14131
938	214057	13905
939	214273	13677
940	214524	13450
941	214748	13222
942	214953	12992
943	215225	12767
944	215506	12542
945	215735	12314
946	215955	12086
947	216128	11855
948	216393	11629
949	216639	11402
950	216894	11175
951	217122	10947
952	217305	10717
953	217531	10488
954	217727	10259
955	217953	10031
956	218197	9804
957	218415	9575
958	218597	9345
959	218837	9118
960	219051	8889
961	219316	8663
962	219525	8434
963	219772	8207
964	219993	7979
965	220230	7751
966	220474	7523
967	220725	7296
968	220990	7069
969	221197	6841
970	221470	6614
971	221701	6386
972	221957	6159
973	222220	5931
974	222459	5704
975	222670	5475
976	222923	5247
977	223147	5019
978	223331	4790
979	223567	4562
980	223852	4335
981	224113	4107
982	224313	3879
983	224539	3651
984	224751	3422
985	225067	3195
986	225258	2966
987	225477	2738
988	225636	2509
989	225888	2281
990	226088	2053
991	226295	1824
992	226469	1596
993	226673	1368
994	226921	1140
995	227144	912
996	227430	684
997	227671	456
998	227869	228
999	228084	0
